name, detector type, wavelength units, number of def points, central wavelength (nm), pivot wavelength (nm), effective wavelength (nm), Vega mag (mag), Vega flux (flam), Vega flux (Jy), AB mag (mag), AB flux (flam), AB flux (Jy), ST mag (mag), ST flux (flam), ST flux (Jy)
2MASS_H, photon, nm, 58, 1651.37, 1649.49, 1638.6, 24.8622, 1.13533e-10, 1030.4, 23.4947, 4.00054e-10, 3630.78, 21.1, 3.63078e-09, 32952
2MASS_J, photon, nm, 109, 1240.84, 1239.08, 1228.26, 23.7673, 3.11218e-10, 1593.83, 22.8734, 7.08962e-10, 3630.78, 21.1, 3.63078e-09, 18594.2
2MASS_Ks, photon, nm, 78, 2165.59, 2163.82, 2152.14, 25.9216, 4.27902e-11, 668.29, 24.0841, 2.32477e-10, 3630.78, 21.1, 3.63078e-09, 56704.9
CFHT_CFH12K_CFH7406, photon, nm, 268, 488.866, 488.851, 489.133, 20.9145, 4.30712e-09, 3433.36, 20.8538, 4.55478e-09, 3630.78, 21.1, 3.63078e-09, 2894.23
CFHT_CFH12K_CFH7504, photon, nm, 273, 503.776, 503.759, 503.697, 20.8335, 4.64102e-09, 3928.61, 20.9191, 4.28918e-09, 3630.78, 21.1, 3.63078e-09, 3073.45
CFHT_MEGAPRIME_CFH7605, photon, nm, 305, 658.413, 658.408, 658.622, 21.8725, 1.78245e-09, 2577.42, 21.5004, 2.51091e-09, 3630.78, 21.1, 3.63078e-09, 5250.12
CFHT_MEGAPRIME_CFH7701, photon, nm, 429, 777.776, 777.755, 777.643, 22.2696, 1.23636e-09, 2494.65, 21.8622, 1.79943e-09, 3630.78, 21.1, 3.63078e-09, 7325.96
CFHT_MEGAPRIME_CFH7803, photon, nm, 428, 812.054, 812.036, 811.933, 22.4156, 1.08081e-09, 2377.27, 21.9558, 1.65071e-09, 3630.78, 21.1, 3.63078e-09, 7986
CFHT_MEGAPRIME_CFH9301, photon, nm, 128, 375.15, 374.353, 383.226, 20.7472, 5.02483e-09, 2348.9, 20.2744, 7.76707e-09, 3630.78, 21.1, 3.63078e-09, 1697.24
CFHT_MEGAPRIME_CFH9401, photon, nm, 237, 485.716, 483.761, 475.886, 20.7358, 5.07803e-09, 3964.02, 20.8311, 4.65114e-09, 3630.78, 21.1, 3.63078e-09, 2834.27
CFHT_MEGAPRIME_CFH9601, photon, nm, 272, 627.33, 626.216, 620.398, 21.5496, 2.39982e-09, 3139.1, 21.3916, 2.7757e-09, 3630.78, 21.1, 3.63078e-09, 4749.27
CFHT_MEGAPRIME_CFH9701, photon, nm, 288, 776.146, 774.853, 768.013, 22.2507, 1.25813e-09, 2519.68, 21.854, 1.81293e-09, 3630.78, 21.1, 3.63078e-09, 7271.4
